자치구,행정동,만0~2세_인구수,만3~5세_인구수,만0~2세_국공립,만0~2세_가정,만0~2세_민간,만0~2세_기타,만3~5세_국공립,만3~5세_가정,만3~5세_민간,만3~5세_기타,만3~5세_유치원,만0~2세_어린이집,만3~5세_어린이집,만0~2세_가정보육,만3~5세_가정보육,만0~2세_어린이집_이용률,만0~2세_국공립_이용률,만0~2세_가정_이용률,만0~2세_민간_이용률,만0~2세_기타_이용률,만3~5세_어린이집_이용률,만3~5세_국공립_이용률,만3~5세_가정_이용률,만3~5세_민간_이용률,만3~5세_기타_이용률,만3~5세_유치원_이용률,만0~2세_추가이용_희망아동수,만3~5세_추가이용_희망아동수,만0~2세_미충족_보육수요,만3~5세_미충족_보육수요,만0~2세_전체_보육수요,만3~5세_전체_보육수요,만0~2세_국공립_희망아동수,만3~5세_국공립_희망아동수,만0~2세_국공립_미충족_보육수요,만3~5세_국공립_미충족_보육수요,만0~2세_국공립_보육수요,만3~5세_국공립_보육수요
마포구,성산2동,637,720,101,152,106,46,199,5,76,57,315,405,337,232,68,0.6357927786499215,0.1585557299843014,0.23861852433281,0.1664050235478807,0.0722135007849293,0.4680555555555555,0.2763888888888889,0.0069444444444444,0.1055555555555555,0.0791666666666666,0.4375,27.607999999999997,18.490000000000002,0.04334065934065934,0.025680555555555557,0.6791334379905808,0.49373611111111104,203.944,37.343,0.32016326530612244,0.05186527777777778,0.47871899529042383,0.3282541666666667
마포구,신수동,466,578,175,48,25,0,174,0,18,0,0,248,192,218,386,0.5321888412017167,0.3755364806866952,0.1030042918454935,0.0536480686695279,0.0,0.3321799307958477,0.301038062283737,0.0,0.0311418685121107,0.0,0.0,25.942,65.62,0.05566952789699571,0.11352941176470589,0.5878583690987125,0.44570934256055356,161.44,131.59400000000002,0.34643776824034334,0.22767128027681666,0.7219742489270385,0.5287093425605536
마포구,아현동,829,979,255,62,151,46,174,0,118,23,0,514,315,315,664,0.6200241254523522,0.3075995174909529,0.0747889022919179,0.1821471652593486,0.0554885404101326,0.3217568947906026,0.177732379979571,0.0,0.1205311542390194,0.0234933605720122,0.0,37.485,112.88000000000001,0.045217129071170085,0.11530132788559756,0.6652412545235222,0.43705822267620015,255.07299999999998,235.612,0.30768757539203856,0.24066598569969355,0.6152870928829914,0.4183983656792646
마포구,연남동,194,194,23,36,12,25,26,0,0,0,523,96,26,98,0,0.4948453608247423,0.1185567010309278,0.1855670103092783,0.0618556701030927,0.1288659793814432,0.134020618556701,0.134020618556701,0.0,0.0,0.0,1.0,11.661999999999999,11.505999999999998,0.06011340206185566,0.05930927835051546,0.554958762886598,0.19332989690721647,78.28,4.707,0.40350515463917525,0.024262886597938144,0.5220618556701031,0.15828350515463915
마포구,염리동,195,296,175,6,24,0,144,0,0,0,208,205,144,0,0,1.0,0.8974358974358975,0.0307692307692307,0.123076923076923,0.0,0.4864864864864865,0.4864864864864865,0.0,0.0,0.0,0.7027027027027027,0.0,4.576,0.0,0.015459459459459458,1.0,0.501945945945946,4.26,1.8719999999999999,0.021846153846153845,0.0063243243243243236,0.9192820512820513,0.49281081081081085
마포구,용강동,451,688,107,111,54,11,116,0,18,20,258,283,154,168,276,0.6274944567627494,0.237250554323725,0.2461197339246119,0.1197339246119734,0.024390243902439,0.2238372093023256,0.1686046511627907,0.0,0.0261627906976744,0.0290697674418604,0.375,19.991999999999997,52.596000000000004,0.04432815964523281,0.07644767441860466,0.6718226164079822,0.30028488372093026,141.416,98.52600000000001,0.3135609756097561,0.14320639534883722,0.550811529933481,0.31181104651162794
마포구,합정동,483,313,94,28,0,33,90,0,0,53,53,155,143,328,117,0.3209109730848861,0.1946169772256728,0.0579710144927536,0.0,0.0683229813664596,0.4568690095846645,0.2875399361022364,0.0,0.0,0.1693290734824281,0.1693290734824281,39.032,21.056,0.08081159420289855,0.06727156549520767,0.40172256728778466,0.5241405750798721,235.96599999999998,44.358,0.48854244306418215,0.1417188498402556,0.683159420289855,0.429258785942492
서대문구,남가좌1동,422,619,208,238,32,0,265,0,0,0,0,478,265,0,354,1.0,0.4928909952606635,0.5639810426540285,0.0758293838862559,0.0,0.4281098546042003,0.4281098546042003,0.0,0.0,0.0,0.0,0.0,60.18000000000001,0.0,0.09722132471728595,1.0,0.5253311793214863,38.339999999999996,119.298,0.09085308056872037,0.1927269789983845,0.5837440758293838,0.6208368336025848
서대문구,남가좌2동,619,906,192,151,106,0,175,0,123,0,151,449,298,170,457,0.7253634894991923,0.3101777059773828,0.2439418416801292,0.1712439418416801,0.0,0.3289183222958057,0.1931567328918322,0.0,0.1357615894039735,0.0,0.1666666666666666,20.23,81.01200000000001,0.03268174474959613,0.08941721854304638,0.7580452342487884,0.41833554083885205,154.30399999999997,165.70000000000002,0.24927948303715666,0.18289183222958058,0.5594571890145394,0.37604856512141277
서대문구,북가좌1동,321,481,125,102,32,0,160,0,0,0,11,259,160,62,310,0.8068535825545171,0.3894080996884735,0.3177570093457944,0.0996884735202492,0.0,0.3326403326403326,0.3326403326403326,0.0,0.0,0.0,0.0228690228690228,7.378,52.942,0.02298442367601246,0.11006652806652807,0.8298380062305296,0.44270686070686066,61.99399999999999,104.56900000000002,0.1931277258566978,0.21739916839916842,0.5825358255451714,0.550039501039501
서대문구,북가좌2동,398,474,163,69,110,0,81,0,120,0,425,342,201,56,0,0.8592964824120602,0.4095477386934673,0.1733668341708542,0.2763819095477386,0.0,0.4240506329113924,0.170886075949367,0.0,0.2531645569620253,0.0,0.8966244725738397,6.664,9.35,0.016743718592964824,0.019725738396624472,0.8760402010050251,0.44377637130801684,64.226,13.905,0.1613718592964824,0.02933544303797468,0.5709195979899497,0.2002215189873417
서대문구,북아현동,413,470,186,0,101,0,66,0,64,0,173,287,130,126,167,0.6949152542372882,0.4503631961259079,0.0,0.2445520581113801,0.0,0.2765957446808511,0.1404255319148936,0.0,0.1361702127659574,0.0,0.3680851063829787,14.994,32.196,0.03630508474576271,0.06850212765957446,0.7312203389830508,0.34509787234042555,101.66,63.212,0.2461501210653753,0.1344936170212766,0.6965133171912832,0.2749191489361702
서대문구,신촌동,313,162,22,11,20,131,35,0,28,153,324,184,216,129,0,0.5878594249201278,0.0702875399361022,0.0351437699680511,0.0638977635782747,0.4185303514376997,1.0,0.2160493827160493,0.0,0.1728395061728395,0.9444444444444444,1.0,15.350999999999999,7.127999999999999,0.04904472843450479,0.044,0.6369041533546326,1.0,112.40099999999998,18.12,0.35910862619808304,0.11185185185185186,0.42939616613418524,0.32790123456790116
서대문구,연희동,389,482,234,87,94,21,305,0,86,33,178,436,424,0,0,1.0,0.6015424164524421,0.2236503856041131,0.2416452442159383,0.0539845758354755,0.8796680497925311,0.6327800829875518,0.0,0.1784232365145228,0.0684647302904564,0.3692946058091286,0.0,3.916,0.0,0.00812448132780083,1.0,0.887792531120332,28.683999999999997,11.598,0.07373778920308482,0.024062240663900416,0.6752802056555269,0.6568423236514522
서대문구,천연동,349,400,44,17,186,0,27,0,119,0,0,247,146,102,254,0.7077363896848138,0.1260744985673352,0.0487106017191977,0.5329512893982808,0.0,0.365,0.0675,0.0,0.2975,0.0,0.0,12.138,43.18,0.03477936962750716,0.10795,0.7425157593123209,0.47295,99.51199999999999,95.594,0.285134670487106,0.23898499999999998,0.4112091690544412,0.306485
서대문구,충현동,315,398,116,11,116,48,65,0,168,55,50,291,288,24,60,0.923809523809524,0.3682539682539683,0.0349206349206349,0.3682539682539683,0.1523809523809524,0.7236180904522613,0.1633165829145728,0.0,0.4221105527638191,0.1381909547738693,0.1256281407035175,2.856,11.3,0.009066666666666666,0.028391959798994976,0.9328761904761906,0.7520100502512563,41.482,39.40200000000001,0.13168888888888888,0.09900000000000002,0.49994285714285713,0.2623165829145728
