A0,A1,A2,A3
3975,11200106,사근동,"""2021-06-24T00:00:00.000Z"""
3710,11200112,금호동4가,"""2021-06-24T00:00:00.000Z"""
3977,11200107,행당동,"""2021-06-24T00:00:00.000Z"""
3978,11200104,도선동,"""2021-06-24T00:00:00.000Z"""
3969,11200115,성수동2가,"""2021-06-24T00:00:00.000Z"""
33,11215101,중곡동,"""2021-06-24T00:00:00.000Z"""
34,11215109,군자동,"""2021-06-24T00:00:00.000Z"""
35,11215104,광장동,"""2021-06-24T00:00:00.000Z"""
36,11215102,능동,"""2021-06-24T00:00:00.000Z"""
37,11215103,구의동,"""2021-06-24T00:00:00.000Z"""
38,11215107,화양동,"""2021-06-24T00:00:00.000Z"""
39,11215105,자양동,"""2021-06-24T00:00:00.000Z"""
1345,11230105,답십리동,"""2021-06-24T00:00:00.000Z"""
369,11230108,회기동,"""2021-06-24T00:00:00.000Z"""
372,11230103,제기동,"""2021-06-24T00:00:00.000Z"""
1025,11230110,이문동,"""2021-06-24T00:00:00.000Z"""
498,11230109,휘경동,"""2021-06-24T00:00:00.000Z"""
376,11230107,청량리동,"""2021-06-24T00:00:00.000Z"""
1346,11230104,전농동,"""2021-06-24T00:00:00.000Z"""
2690,11290133,정릉동,"""2021-06-24T00:00:00.000Z"""
49,11260106,신내동,"""2021-06-24T00:00:00.000Z"""
33,11260101,면목동,"""2021-06-24T00:00:00.000Z"""
34,11260104,묵동,"""2021-06-24T00:00:00.000Z"""
35,11260102,상봉동,"""2021-06-24T00:00:00.000Z"""
37,11260105,망우동,"""2021-06-24T00:00:00.000Z"""
38,11260103,중화동,"""2021-06-24T00:00:00.000Z"""
408,11290129,보문동7가,"""2021-06-24T00:00:00.000Z"""
2691,11290138,장위동,"""2021-06-24T00:00:00.000Z"""
2692,11290136,하월곡동,"""2021-06-24T00:00:00.000Z"""
407,11290124,안암동4가,"""2021-06-24T00:00:00.000Z"""
409,11290135,종암동,"""2021-06-24T00:00:00.000Z"""
410,11290131,보문동2가,"""2021-06-24T00:00:00.000Z"""
412,11290139,석관동,"""2021-06-24T00:00:00.000Z"""
413,11290119,동선동4가,"""2021-06-24T00:00:00.000Z"""
414,11290118,동선동3가,"""2021-06-24T00:00:00.000Z"""
