기간,자치구,행정동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
2020,은평구,수색동,4,1,0,0,0,3,0,0
2020,은평구,진관동,38,14,0,0,18,4,0,2
2020,은평구,불광2동,10,3,0,0,5,2,0,0
2020,은평구,응암3동,9,2,0,1,6,0,0,0
2020,은평구,역촌동,24,6,0,3,8,7,0,0
2020,서대문구,천연동,9,2,0,0,5,2,0,0
2020,서대문구,홍제1동,11,4,0,0,2,5,0,0
2020,서대문구,홍제3동,10,6,0,0,2,2,0,0
2020,서대문구,홍제2동,5,2,0,0,1,2,0,0
2020,서대문구,홍은1동,9,4,0,0,1,3,1,0
2020,서대문구,홍은2동,6,2,0,0,3,1,0,0
2020,서대문구,남가좌1동,12,6,0,0,1,5,0,0
2020,서대문구,남가좌2동,18,8,0,0,4,6,0,0
2020,서대문구,북가좌1동,10,5,0,0,0,5,0,0
2020,서대문구,북가좌2동,13,4,0,0,6,3,0,0
2020,서대문구,충현동,8,1,0,1,4,1,0,1
2020,서대문구,북아현동,15,11,0,0,4,0,0,0
2020,서대문구,신촌동,5,1,0,1,0,0,0,3
2020,서대문구,연희동,12,5,0,0,5,1,0,1
2020,마포구,용강동,11,4,0,1,1,5,0,0
2020,마포구,대흥동,4,4,0,0,0,0,0,0
2020,마포구,염리동,6,3,0,0,2,1,0,0
2020,마포구,신수동,11,5,0,0,2,4,0,0
2020,마포구,서교동,9,7,0,0,0,2,0,0
2020,마포구,합정동,9,3,0,0,0,4,1,1
2020,마포구,망원1동,13,4,0,0,4,5,0,0
2020,마포구,망원2동,10,2,0,0,2,6,0,0
2020,마포구,연남동,5,1,0,0,2,2,0,0
2020,마포구,성산1동,6,1,0,0,1,2,2,0
2020,마포구,성산2동,27,4,0,1,5,15,1,1
2020,마포구,상암동,32,15,0,1,4,2,0,10
2020,마포구,도화동,11,3,0,0,0,7,0,1
2020,마포구,서강동,12,7,0,1,4,0,0,0
