,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,기간,자치구,동,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
1,기간,자치구,동,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
157,2020,도봉구,쌍문2동,529,216,,,236,77,,,489,194,,,228,67,,
158,2020,도봉구,쌍문3동,591,99,,,443,49,,,459,85,,,341,33,,
159,2020,도봉구,쌍문4동,274,97,,,47,130,,,210,78,,,39,93,,
160,2020,도봉구,방학1동,665,343,,40,135,53,,94,517,308,,24,60,36,,89
161,2020,도봉구,방학2동,842,135,,,687,20,,,635,98,,,522,15,,
162,2020,도봉구,방학3동,596,272,,,67,228,29,,473,240,,,66,138,29,
163,2020,도봉구,창1동,557,213,,,206,138,,,428,180,,,132,116,,
164,2020,도봉구,창2동,971,213,,,647,111,,,700,194,,,430,76,,
165,2020,도봉구,창3동,520,196,33,27,244,20,,,355,162,26,24,128,15,,
166,2020,도봉구,창4동,703,299,,,131,173,,100,510,268,,,87,128,,27
167,2020,도봉구,창5동,617,170,,,326,121,,,520,160,,,284,76,,
168,2020,도봉구,도봉1동,469,149,,,301,19,,,383,120,,,255,8,,
169,2020,도봉구,도봉2동,845,402,,,170,203,,70,645,339,,,112,145,,49
170,2020,노원구,소계,"11,717","4,900",208,,"2,766","3,453",30,360,"9,433","4,119",163,,"2,170","2,729",15,237
171,2020,노원구,월계1동,590,268,,,186,136,,,491,233,,,156,102,,
172,2020,노원구,월계2동,542,382,,,,160,,,456,326,,,,130,,
173,2020,노원구,월계3동,683,231,,,,452,,,560,206,,,,354,,
174,2020,노원구,공릉2동,"1,336",538,,,332,261,,205,"1,035",476,,,230,208,,121
175,2020,노원구,하계1동,590,465,,,39,86,,,412,295,,,37,80,,
176,2020,노원구,하계2동,335,139,,,59,137,,,288,131,,,44,113,,
177,2020,노원구,중계본동,347,251,,,28,68,,,253,193,,,12,48,,
178,2020,노원구,중계1동,436,202,,,201,33,,,395,187,,,177,31,,
179,2020,노원구,중계4동,215,71,20,,,124,,,176,58,19,,,99,,
180,2020,노원구,상계1동,"1,095",464,128,,330,143,30,,869,392,88,,240,134,15,
181,2020,노원구,상계2동,726,164,,,486,19,,57,650,157,,,435,18,,40
182,2020,노원구,상계5동,353,95,,,191,67,,,282,89,,,150,43,,
183,2020,노원구,상계8동,781,263,,,38,431,,49,601,250,,,28,294,,29
184,2020,노원구,상계9동,393,137,,,,256,,,314,124,,,,190,,
185,2020,노원구,상계10동,395,190,,,,205,,,253,94,,,,159,,
186,2020,노원구,상계3.4동,820,399,20,,342,59,,,634,341,20,,217,56,,
187,2020,노원구,상계6.7동,694,130,,,163,352,,49,603,123,,,143,290,,47
