,기간,자치구,동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
161,2020,도봉구,창1동,16,5,-,-,3,8,-,-
162,2020,도봉구,창2동,20,4,-,-,10,6,-,-
163,2020,도봉구,창3동,12,4,1,1,5,1,-,-
164,2020,도봉구,창4동,20,7,-,-,2,10,-,1
165,2020,도봉구,창5동,16,3,-,-,6,7,-,-
166,2020,도봉구,도봉1동,8,3,-,-,4,1,-,-
167,2020,도봉구,도봉2동,26,11,-,-,2,12,-,1
168,2020,노원구,소계,364,93,5,-,42,216,1,7
169,2020,노원구,월계1동,16,6,-,-,3,7,-,-
170,2020,노원구,월계2동,17,8,-,-,-,9,-,-
171,2020,노원구,월계3동,32,4,-,-,-,28,-,-
172,2020,노원구,공릉2동,32,8,-,-,6,15,-,3
173,2020,노원구,하계1동,10,4,-,-,1,5,-,-
174,2020,노원구,하계2동,14,4,-,-,1,9,-,-
175,2020,노원구,중계본동,7,2,-,-,1,4,-,-
176,2020,노원구,중계1동,10,4,-,-,4,2,-,-
177,2020,노원구,중계4동,10,1,1,-,-,8,-,-
178,2020,노원구,상계1동,25,10,1,-,5,8,1,-
179,2020,노원구,상계2동,12,3,-,-,6,1,-,2
180,2020,노원구,상계5동,8,1,-,-,3,4,-,-
181,2020,노원구,상계8동,39,8,-,-,1,29,-,1
182,2020,노원구,상계9동,20,3,-,-,-,17,-,-
183,2020,노원구,상계10동,16,3,-,-,-,13,-,-
184,2020,노원구,상계3.4동,16,7,1,-,5,3,-,-
185,2020,노원구,상계6.7동,31,5,-,-,1,24,-,1
186,2020,노원구,중계2.3동,29,6,2,-,-,21,-,-
187,2020,노원구,공릉1동,20,6,-,-,5,9,-,-
188,2020,은평구,소계,246,78,-,9,102,52,1,4
189,2020,은평구,녹번동,21,7,-,2,7,4,-,1
190,2020,은평구,불광1동,23,6,-,-,9,7,-,1
191,2020,은평구,갈현1동,9,3,-,1,4,1,-,-
192,2020,은평구,갈현2동,13,5,-,-,5,2,1,-
